Year,Area,Level,BirthRate,NationalRate,DeviationFromNational
2011,Limerick County,County,17.2,16.2,1.0
2011,Longford,County,16.1,16.2,-0.09999999999999787
2011,Louth,County,15.3,16.2,-0.8999999999999986
2011,Mayo,County,13.9,16.2,-2.299999999999999
2011,Meath,County,19.0,16.2,2.8000000000000007
2011,Mid-East,Region,18.0,16.2,1.8000000000000007
2011,Mid-West,Region,15.8,16.2,-0.3999999999999986
2011,Midland,Region,16.3,16.2,0.10000000000000142
2011,Monaghan,County,14.5,16.2,-1.6999999999999993
2011,Munster,Province,15.5,16.2,-0.6999999999999993
2011,Offaly,County,16.2,16.2,0.0
2011,Roscommon,County,13.5,16.2,-2.6999999999999993
2011,Sligo,County,14.3,16.2,-1.8999999999999986
2011,South Dublin,County,18.9,16.2,2.6999999999999993
2011,South-East,Region,15.5,16.2,-0.6999999999999993
2011,South-West,Region,15.5,16.2,-0.6999999999999993
2011,State,National,16.2,16.2,0.0
2011,Tipperary,County,15.3,16.2,-0.8999999999999986
2011,Ulster (part of),Province,14.6,16.2,-1.5999999999999996
2011,Waterford City,County,17.9,16.2,1.6999999999999993
2011,Waterford County,County,14.4,16.2,-1.799999999999999
2011,West,Region,15.1,16.2,-1.0999999999999996
2011,Westmeath,County,16.1,16.2,-0.09999999999999787
2011,Wexford,County,15.7,16.2,-0.5
2011,Wicklow,County,16.5,16.2,0.3000000000000007
2012,Border,Region,14.3,15.6,-1.299999999999999
2012,Carlow,County,16.8,15.6,1.200000000000001
2012,Cavan,County,15.7,15.6,0.09999999999999964
2012,Clare,County,14.5,15.6,-1.0999999999999996
2012,Connacht,Province,14.7,15.6,-0.9000000000000004
2012,Cork City,County,12.1,15.6,-3.5
2012,Cork County,County,16.5,15.6,0.9000000000000004
2012,Donegal,County,12.8,15.6,-2.799999999999999
2012,Dublin,Region,16.8,15.6,1.200000000000001
2012,Dublin City,County,15.3,15.6,-0.29999999999999893
2012,Dun Laoghaire-Rathdown,County,13.6,15.6,-2.0
2012,Fingal,County,20.2,15.6,4.6
2012,Galway City,County,16.4,15.6,0.7999999999999989
2012,Galway County,County,15.5,15.6,-0.09999999999999964
2012,Kerry,County,13.5,15.6,-2.0999999999999996
2012,Kildare,County,17.2,15.6,1.5999999999999996
2012,Kilkenny,County,14.5,15.6,-1.0999999999999996
2012,Laois,County,15.7,15.6,0.09999999999999964
2012,Leinster,Province,16.4,15.6,0.7999999999999989
2012,Leitrim,County,14.2,15.6,-1.4000000000000004
2012,Limerick City,County,14.7,15.6,-0.9000000000000004
2012,Limerick County,County,15.3,15.6,-0.29999999999999893
2012,Longford,County,16.3,15.6,0.7000000000000011
2012,Louth,County,15.2,15.6,-0.40000000000000036
2012,Mayo,County,13.4,15.6,-2.1999999999999993
2012,Meath,County,17.1,15.6,1.5000000000000018
2012,Mid-East,Region,17.0,15.6,1.4000000000000004
2012,Mid-West,Region,14.8,15.6,-0.7999999999999989
2012,Midland,Region,15.9,15.6,0.3000000000000007
2012,Monaghan,County,13.7,15.6,-1.9000000000000004
2012,Munster,Province,14.8,15.6,-0.7999999999999989
2012,Offaly,County,15.0,15.6,-0.5999999999999996
2012,Roscommon,County,13.4,15.6,-2.1999999999999993
2012,Sligo,County,14.8,15.6,-0.7999999999999989
2012,South Dublin,County,18.4,15.6,2.799999999999999
2012,South-East,Region,14.8,15.6,-0.7999999999999989
2012,South-West,Region,15.1,15.6,-0.5
2012,State,National,15.6,15.6,0.0
2012,Tipperary,County,13.95,15.6,-1.6500000000000004
2012,Ulster (part of),Province,13.8,15.6,-1.799999999999999
2012,Waterford City,County,17.2,15.6,1.5999999999999996
